station_code,date,actual_noise_db,expected_noise_db,residual_db,anomaly_score
HYD01,2014-10-01,72.0,68.96,3.04,3.53
HYD01,2015-01-01,73.5,70.73,2.77,3.22
HYD01,2015-07-01,76.5,74.2,2.3,2.67
HYD01,2016-10-01,71.5,73.74,-2.24,2.6
HYD01,2016-11-01,69.0,71.31,-2.31,2.68
HYD02,2018-01-01,73.0,61.7,11.3,3.56
HYD02,2018-06-01,57.0,67.55,-10.55,3.32
HYD02,2018-10-01,78.0,63.18,14.82,4.67
HYD02,2018-11-01,84.5,76.41,8.09,2.55
HYD03,2015-01-01,76.5,56.25,20.25,10.47
HYD03,2016-10-01,70.5,75.67,-5.17,2.67
HYD03,2018-01-01,58.5,67.4,-8.9,4.6
HYD04,2012-09-01,56.0,51.76,4.24,4.59
HYD04,2014-06-01,57.5,53.83,3.67,3.97
HYD04,2016-02-01,55.0,52.55,2.45,2.65
HYD04,2016-05-01,57.0,53.58,3.42,3.69
HYD04,2017-08-01,57.0,52.97,4.03,4.35
HYD05,2015-01-01,63.5,74.08,-10.58,5.94
HYD05,2017-11-01,79.0,69.09,9.91,5.56
HYD05,2018-09-01,62.0,67.93,-5.93,3.33
HYD06,2018-12-01,78.0,65.19,12.81,2.82
HYD07,2017-01-01,75.5,68.04,7.46,3.02
HYD07,2018-06-01,74.0,66.84,7.16,2.89
HYD08,2016-09-01,70.0,58.94,11.06,4.66
HYD08,2017-05-01,75.5,62.6,12.9,5.44
HYD08,2019-05-01,66.3,60.35,5.95,2.51
HYD09,2017-10-01,67.5,75.79,-8.29,2.88
HYD09,2017-12-01,86.5,77.31,9.19,3.19
HYD09,2018-04-01,88.0,77.58,10.42,3.62
HYD09,2018-09-01,89.5,77.3,12.2,4.24
HYD10,2016-09-01,73.5,70.15,3.35,3.62
HYD10,2016-10-01,75.0,70.19,4.81,5.21
HYD10,2016-11-01,67.0,69.55,-2.55,2.76
HYD10,2016-12-01,69.0,66.6,2.4,2.6
